,STARTDATE,ELAPSED,score
63218,2019-04-18 09:09:00,0.046920666666666666,1.9408871186
63220,2019-04-18 09:11:00,0.0415245,1.7110673881
63561,2019-04-18 14:52:00,0.0362915,1.5540626742
63598,2019-04-18 15:29:00,0.05918266666666667,2.3124712569
63616,2019-04-18 15:47:00,0.05689583333333333,2.2177820616
63902,2019-04-18 20:33:00,0.050278166666666665,1.9961575645
64522,2019-04-19 06:53:00,0.2537473333333333,6.3469930033
64532,2019-04-19 07:03:00,0.09614583333333333,3.7308198506
64535,2019-04-19 07:06:00,0.06140866666666667,2.4113769712
64537,2019-04-19 07:08:00,0.05081833333333333,2.0146611114
64538,2019-04-19 07:09:00,0.10625316666666666,4.0578589259
64558,2019-04-19 07:29:00,0.04020666666666667,1.6996505673
64583,2019-04-19 07:54:00,0.040750166666666664,1.7047079134
64595,2019-04-19 08:06:00,0.11266066666666667,4.2145970375
64606,2019-04-19 08:17:00,0.104592,3.9982363608
64628,2019-04-19 08:39:00,0.08824749999999999,3.4554959191
