,STARTDATE,ELAPSED,ELAPSED_normalized,score
91419,2019-03-12 13:23:47,3.586,0.010496164512195535,2.5614661594
91430,2019-03-12 13:24:04,4.408,0.02545439805979375,4.2234251254
91480,2019-03-12 13:28:09,1.403,0.007985110673498823,2.050600101
91507,2019-03-12 13:30:22,6.175,0.008926164748641281,2.2386087631
91522,2019-03-12 13:32:15,3.292,0.009063303282204756,2.2620639937
91545,2019-03-12 13:33:18,2.158,0.011365609303802387,2.7139254924
91552,2019-03-12 13:33:38,1.618,0.010382670553384382,2.5383434742
91555,2019-03-12 13:33:46,2.019,0.016944377826793356,3.5006826767
91559,2019-03-12 13:33:57,1.118,0.0079060702378982,2.0388919688
91567,2019-03-12 13:34:29,0.807,0.0151723858389264,3.2915823583
91573,2019-03-12 13:35:01,0.714,0.015179816990991416,3.2924170378
91584,2019-03-12 13:35:38,0.727,0.021250392668830706,3.9269622724
91713,2019-03-12 13:43:58,1.543,0.009755751542808503,2.4023158496
91727,2019-03-12 13:45:22,2.399,0.01210467115463214,2.8323295967
91751,2019-03-12 13:46:49,0.483,0.043661396178361164,4.9584293749
91797,2019-03-12 13:53:30,3.316,0.00834856156540596,2.1263760795
91821,2019-03-12 13:55:15,4.311,0.010910957909279144,2.6340796672
91828,2019-03-12 13:55:37,1.529,0.012715376742520714,2.9426489014
92104,2019-03-12 14:15:37,0.142,0.015004171578545588,3.2709835234
92107,2019-03-12 14:16:02,6.158,0.014463724155635346,3.2016535679
92275,2019-03-12 14:24:27,2.327,0.012561349226991295,2.915798675
92294,2019-03-12 14:25:34,0.011,0.010837321947907624,2.6204971681
92301,2019-03-12 14:25:49,2.014,0.012127640170105827,2.8353992162
92322,2019-03-12 14:28:01,5.831,0.045378667864658453,5.0046110403
92324,2019-03-12 14:28:09,1.493,0.011276435479022195,2.6984176494
92350,2019-03-12 14:31:19,2.713,0.015152119060567269,3.2892913096
92382,2019-03-12 14:36:31,0.91,0.013409176121681738,3.0538614552
92437,2019-03-12 14:39:45,1.312,0.007943225998223278,2.0455836315
92456,2019-03-12 14:41:06,2.6,0.03332128585953096,4.6250179916
92469,2019-03-12 14:41:55,3.807,0.033678656717930355,4.6381290918
92471,2019-03-12 14:41:59,0.174,0.03264234878449997,4.5953725076
92489,2019-03-12 14:42:47,1.029,0.18091072146353163,6.0974663455
92501,2019-03-12 14:43:38,2.172,0.017509145383734555,3.5614936604
92543,2019-03-12 14:46:11,1.166,0.018588013551719126,3.6792818925
92553,2019-03-12 14:47:30,5.475,0.579326534955126,6.4559757643
92596,2019-03-12 14:52:55,4.393,0.014444808495833489,3.1992319797
92645,2019-03-12 14:58:19,1.176,0.014575191436610582,3.2173033805
92708,2019-03-12 15:02:50,2.018,0.02173747090872856,3.9634972625
92712,2019-03-12 15:03:13,1.937,0.018186731340208272,3.6337896548
92725,2019-03-12 15:04:19,1.179,0.013375398157749846,3.0492713591
92726,2019-03-12 15:04:22,19.348,0.018706911984759378,3.6910928713
92737,2019-03-12 15:05:31,2.982,0.026009032227555386,4.2573560877
92743,2019-03-12 15:06:15,1.036,0.009598346230885894,2.3719366647
92749,2019-03-12 15:06:57,0.465,0.016857230679849077,3.4897534689
92776,2019-03-12 15:08:01,2.01,0.010080019996554649,2.4669323931
92805,2019-03-12 15:09:13,1.74,0.01144667641723892,2.7255919407
92829,2019-03-12 15:10:05,0.953,0.012365437036186333,2.88312826
92840,2019-03-12 15:10:51,1.719,0.01477313030525146,3.2447617192
92856,2019-03-12 15:11:50,0.829,0.020564700001013337,3.8668761984
92885,2019-03-12 15:13:31,0.677,0.011397360589898363,2.7188997095
92895,2019-03-12 15:13:55,1.099,0.020414725841155744,3.8544504924
92917,2019-03-12 15:15:13,0.774,0.02051200637727959,3.8625419619
92919,2019-03-12 15:15:14,1.698,0.008328294787046827,2.1235285876
92946,2019-03-12 15:16:30,3.657,0.009773991643331722,2.4060227486
92952,2019-03-12 15:16:56,7.592,0.019010238100867754,3.7213204676
92957,2019-03-12 15:17:15,2.168,0.009153828225542221,2.2830891142
92967,2019-03-12 15:18:02,3.18,0.00931393577457938,2.3100854321
92985,2019-03-12 15:18:55,4.882,0.014378603686526983,3.1903643561
92992,2019-03-12 15:19:35,1.72,0.00867147890059483,2.187402118
93004,2019-03-12 15:20:10,0.769,0.019352071095858483,3.75542997
93030,2019-03-12 15:21:09,0.687,0.015321008880226718,3.308129566
93052,2019-03-12 15:22:01,1.297,0.009656444328848745,2.3833355286
93056,2019-03-12 15:22:11,1.51,0.017032200533016267,3.5103140266
93080,2019-03-12 15:23:33,1.461,0.008614731921189256,2.1779683503
93085,2019-03-12 15:24:32,2.184,0.010679241076706378,2.5971200743
93088,2019-03-12 15:25:01,2.264,0.012249240840260632,2.8590004422
93097,2019-03-12 15:25:50,4.11,0.013146383562291633,3.0119681676
93156,2019-03-12 15:29:21,0.638,0.022979148862864843,4.0558169534
