,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
2877,"frozenset({'HPMS.SEN', '_Program Manager'})","frozenset({'6_or_more', 'US-CHD01'})",0.0102425064015665,0.022518451574032233,0.002786564241602651,0.2720588235294118,12.081595514459966,0.002555918857202261,1.3428029352114306
2878,"frozenset({'_Program Manager', 'US-CHD01'})","frozenset({'HPMS.SEN', '6_or_more'})",0.019731887332429584,0.006778129236330773,0.002786564241602651,0.1412213740458015,20.834860050890583,0.002652818959186725,1.1565516895114725
2879,"frozenset({'HPMS.SEN', '6_or_more'})","frozenset({'_Program Manager', 'US-CHD01'})",0.006778129236330773,0.019731887332429584,0.002786564241602651,0.41111111111111115,20.834860050890587,0.002652818959186725,1.6646062290581387
2880,"frozenset({'6_or_more', 'US-CHD01'})","frozenset({'HPMS.SEN', '_Program Manager'})",0.022518451574032233,0.0102425064015665,0.002786564241602651,0.12374581939799333,12.081595514459966,0.002555918857202261,1.1295324068165329
2881,frozenset({'_Program Manager'}),"frozenset({'HPMS.SEN', '6_or_more', 'US-CHD01'})",0.3487724054827534,0.0031631269769543608,0.002786564241602651,0.007989635068019868,2.5258660579325665,0.0016833528370028888,1.0048653807073846
2882,frozenset({'HPMS.SEN'}),"frozenset({'6_or_more', '_Program Manager', 'US-CHD01'})",0.021388763367977105,0.009263443289652055,0.002786564241602651,0.13028169014084506,14.064067330814153,0.002588430645107608,1.1391464862580518
2883,frozenset({'US-CHD01'}),"frozenset({'6_or_more', 'HPMS.SEN', '_Program Manager'})",0.08088567555354723,0.004066877541798464,0.002786564241602651,0.03445065176908752,8.471032484998965,0.002457612104240733,1.031467862603769
2884,"frozenset({'_PMO+RM', 'HPMS.SIP', '6_or_more'})",frozenset({'IN-BLR01-s1'}),0.008209067630667269,0.08834161771351107,0.001732188582617864,0.21100917431192662,2.3885590933621157,0.0010069862682050982,1.1554739961538059
2885,"frozenset({'_PMO+RM', '6_or_more', 'IN-BLR01-s1'})",frozenset({'HPMS.SIP'}),0.001732188582617864,0.05241753276095797,0.001732188582617864,1.0,19.07758620689655,0.0016413915308403349,inf
2886,"frozenset({'HPMS.SIP', '6_or_more', 'IN-BLR01-s1'})",frozenset({'_PMO+RM'}),0.001882813676758548,0.37776773610483505,0.001732188582617864,0.9199999999999999,2.435358851674641,0.0010209223224415666,7.777903298689555
2887,"frozenset({'_PMO+RM', '6_or_more'})","frozenset({'HPMS.SIP', 'IN-BLR01-s1'})",0.12373851483657178,0.004820003012501883,0.001732188582617864,0.01399878271454656,2.9043099513085817,0.0011357685683430793,1.0093090957101603
2888,"frozenset({'_PMO+RM', 'IN-BLR01-s1'})","frozenset({'HPMS.SIP', '6_or_more'})",0.004669377918361199,0.015815634884771803,0.001732188582617864,0.3709677419354838,23.45576036866359,0.0016583394063220476,1.5646007855677984
2889,"frozenset({'HPMS.SIP', '6_or_more'})","frozenset({'_PMO+RM', 'IN-BLR01-s1'})",0.015815634884771803,0.004669377918361199,0.001732188582617864,0.10952380952380952,23.455760368663594,0.0016583394063220476,1.117750965974033
2890,"frozenset({'HPMS.SIP', 'IN-BLR01-s1'})","frozenset({'_PMO+RM', '6_or_more'})",0.004820003012501883,0.12373851483657178,0.001732188582617864,0.35937499999999994,2.9043099513085813,0.0011357685683430793,1.367822806108766
2891,frozenset({'_PMO+RM'}),"frozenset({'HPMS.SIP', '6_or_more', 'IN-BLR01-s1'})",0.37776773610483505,0.001882813676758548,0.001732188582617864,0.004585326953748007,2.4353588516746414,0.0010209223224415666,1.0027149622666491
2892,frozenset({'HPMS.SIP'}),"frozenset({'_PMO+RM', '6_or_more', 'IN-BLR01-s1'})",0.05241753276095797,0.001732188582617864,0.001732188582617864,0.033045977011494254,19.07758620689655,0.0016413915308403349,1.032383947617382
2893,frozenset({'IN-BLR01-s1'}),"frozenset({'_PMO+RM', 'HPMS.SIP', '6_or_more'})",0.08834161771351107,0.008209067630667269,0.001732188582617864,0.0196078431372549,2.3885590933621157,0.0010069862682050982,1.0116267510167194
2894,"frozenset({'_PMO+RM', 'HPMS.SIP', '6_or_more'})",frozenset({'NL-NYM01-s1'}),0.008209067630667269,0.10460912788070492,0.004368127730079831,0.5321100917431193,5.086650682624289,0.0035093843245220034,1.9136785306079054
2895,"frozenset({'_PMO+RM', '6_or_more', 'NL-NYM01-s1'})",frozenset({'HPMS.SIP'}),0.02274438921524326,0.05241753276095797,0.004368127730079831,0.1920529801324503,3.6639072847682117,0.003175922963261838,1.1728274799434044
2896,"frozenset({'_PMO+RM', 'HPMS.SIP'})","frozenset({'6_or_more', 'NL-NYM01-s1'})",0.029748456092785057,0.0377315860822413,0.004368127730079831,0.1468354430379747,3.8915788675812935,0.003245671298201136,1.127881375363545
2897,"frozenset({'_PMO+RM', 'NL-NYM01-s1'})","frozenset({'HPMS.SIP', '6_or_more'})",0.06137972586232866,0.015815634884771803,0.004368127730079831,0.07116564417177913,4.499702015775635,0.003397368396513856,1.0595908290210185
2898,"frozenset({'HPMS.SIP', '6_or_more'})","frozenset({'_PMO+RM', 'NL-NYM01-s1'})",0.015815634884771803,0.06137972586232866,0.004368127730079831,0.27619047619047615,4.499702015775635,0.003397368396513856,1.2967780103217825
2899,"frozenset({'6_or_more', 'NL-NYM01-s1'})","frozenset({'_PMO+RM', 'HPMS.SIP'})",0.0377315860822413,0.029748456092785057,0.004368127730079831,0.11576846307385229,3.891578867581293,0.003245671298201136,1.0972822200846832
2900,frozenset({'HPMS.SIP'}),"frozenset({'_PMO+RM', '6_or_more', 'NL-NYM01-s1'})",0.05241753276095797,0.02274438921524326,0.004368127730079831,0.08333333333333333,3.6639072847682117,0.003175922963261838,1.0660970299470074
2901,frozenset({'NL-NYM01-s1'}),"frozenset({'_PMO+RM', 'HPMS.SIP', '6_or_more'})",0.10460912788070492,0.008209067630667269,0.004368127730079831,0.04175665946724262,5.086650682624289,0.0035093843245220034,1.035009470368898
2902,"frozenset({'6_or_more', 'HPMS.SIP', '_Program Manager'})",frozenset({'NL-NYM01-s1'}),0.0024100015062509415,0.10460912788070492,0.0014309383943364965,0.59375,5.6758909287257024,0.0011788302385764002,2.204039069832111
2903,"frozenset({'6_or_more', '_Program Manager', 'NL-NYM01-s1'})",frozenset({'HPMS.SIP'}),0.010769694231058894,0.05241753276095797,0.0014309383943364965,0.13286713286713286,2.5347841813359056,0.0008664175941544668,1.0927765549611534
2904,"frozenset({'HPMS.SIP', '_Program Manager'})","frozenset({'6_or_more', 'NL-NYM01-s1'})",0.010920319325199579,0.0377315860822413,0.0014309383943364965,0.1310344827586207,3.472806111914103,0.0010188974256721654,1.1073723810958336
2905,"frozenset({'_Program Manager', 'NL-NYM01-s1'})","frozenset({'HPMS.SIP', '6_or_more'})",0.031631269769543606,0.015815634884771803,0.0014309383943364965,0.04523809523809524,2.860340136054422,0.0009306697807196749,1.0308165420159496
2906,"frozenset({'HPMS.SIP', '6_or_more'})","frozenset({'_Program Manager', 'NL-NYM01-s1'})",0.015815634884771803,0.031631269769543606,0.0014309383943364965,0.09047619047619047,2.860340136054422,0.0009306697807196749,1.0646986039183028
2907,"frozenset({'6_or_more', 'NL-NYM01-s1'})","frozenset({'HPMS.SIP', '_Program Manager'})",0.0377315860822413,0.010920319325199579,0.0014309383943364965,0.03792415169660679,3.472806111914103,0.0010188974256721654,1.0280682987926868
2908,frozenset({'HPMS.SIP'}),"frozenset({'6_or_more', '_Program Manager', 'NL-NYM01-s1'})",0.05241753276095797,0.010769694231058894,0.0014309383943364965,0.027298850574712645,2.5347841813359056,0.0008664175941544668,1.0169930469943618
